domain,name,type,title,title_t,help,help_t
com.axelor.wkf.db.node.Activity,description,field,,Description,,
com.axelor.wkf.db.node.Activity,ref,field,,参照,,
com.axelor.wkf.db.node.IntermediateTimerEvent,name,field,,名称,,
com.axelor.wkf.db.node.IntermediateTimerEvent,type,field,,类型,,
com.axelor.wkf.db.node.IntermediateTimerEvent,action,field,,Action,,
com.axelor.wkf.db.node.IntermediateTimerEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.IntermediateTimerEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.IntermediateTimerEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.IntermediateTimerEvent,description,field,,Description,,
com.axelor.wkf.db.node.IntermediateTimerEvent,ref,field,,参照,,
com.axelor.wkf.db.node.IntermediateTimerEvent,timeDuration,field,,Durée,,
com.axelor.wkf.db.node.IntermediateTimerEvent,timeCycle,field,,Cycle,,
com.axelor.wkf.db.node.IntermediateTimerEvent,timeDate,field,,Date,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,templateModel,field,,模型模板,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,templateModel,field,,模型模板,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,templateModel,field,,模型模板,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,templateModel,field,,模型模板,,
